edge1_x, edge1_y, edge2_x, edge2_y
0.482408,0.268771,0.502769,0.321409
0.502769,0.321409,0.663357,0.331917
0.663357,0.331917,0.731539,0.233077
0.731539,0.233077,0.631125,0.10047
0.631125,0.10047,0.482408,0.268771
0.749804,0.611961,0.767786,0.610745
0.767786,0.610745,0.87224,0.455477
0.87224,0.455477,0.669953,0.345217
0.669953,0.345217,0.665492,0.446915
0.665492,0.446915,0.749804,0.611961
0.631125,0.10047,0.61113,0.0402327
0.61113,0.0402327,0.432178,0.145343
0.432178,0.145343,0.418776,0.173306
0.418776,0.173306,0.482408,0.268771
0.482408,0.268771,0.631125,0.10047
0.782278,0.213433,0.731539,0.233077
0.731539,0.233077,0.663357,0.331917
0.663357,0.331917,0.669953,0.345217
0.669953,0.345217,0.87224,0.455477
0.87224,0.455477,0.875923,0.454243
0.875923,0.454243,0.782278,0.213433
0.665492,0.446915,0.669953,0.345217
0.669953,0.345217,0.663357,0.331917
0.663357,0.331917,0.502769,0.321409
0.502769,0.321409,0.410553,0.438791
0.410553,0.438791,0.381953,0.494801
0.381953,0.494801,0.385864,0.555453
0.385864,0.555453,0.418097,0.590869
0.418097,0.590869,0.46466,0.61876
0.46466,0.61876,0.476782,0.617402
0.476782,0.617402,0.665492,0.446915
0.61113,0.0402327,0.619167,1.32245e-09
0.619167,1.32245e-09,0.417798,0
0.417798,0,0.432178,0.145343
0.432178,0.145343,0.61113,0.0402327
0.690384,0.709397,0.69252,0.647701
0.69252,0.647701,0.476782,0.617402
0.476782,0.617402,0.46466,0.61876
0.46466,0.61876,0.475422,0.670148
0.475422,0.670148,0.511653,0.768505
0.511653,0.768505,0.637406,0.839009
0.637406,0.839009,0.690384,0.709397
0.875923,0.454243,1,0.423089
1,0.423089,1,0.11143
1,0.11143,0.782278,0.213433
0.782278,0.213433,0.875923,0.454243
0.278269,0.431049,0.381953,0.494801
0.381953,0.494801,0.410552,0.438791
0.410552,0.438791,0.252275,0.206948
0.252275,0.206948,0.278269,0.431049
0.821602,0.844724,0.852159,0.816811
0.852159,0.816811,0.844565,0.667656
0.844565,0.667656,0.767786,0.610745
0.767786,0.610745,0.749804,0.611961
0.749804,0.611961,0.69252,0.647701
0.69252,0.647701,0.690384,0.709397
0.690384,0.709397,0.821602,0.844724
0.241146,-1.30946e-09,0,0
0,0,0,0.248558
0,0.248558,0.220454,0.156905
0.220454,0.156905,0.241146,-1.30946e-09
2.15908e-09,0.740122,0,1
0,1,0.108627,1
0.108627,1,0.229067,0.615749
0.229067,0.615749,0.163016,0.593052
0.163016,0.593052,2.15908e-09,0.740122
0.00471086,0.338974,0.113242,0.549189
0.113242,0.549189,0.163016,0.593053
0.163016,0.593053,0.229067,0.615749
0.229067,0.615749,0.385864,0.555453
0.385864,0.555453,0.381953,0.494801
0.381953,0.494801,0.278269,0.431049
0.278269,0.431049,0.00471086,0.338974
0.252275,0.206948,0.234151,0.162769
0.234151,0.162769,0.220454,0.156905
0.220454,0.156905,5.04718e-09,0.248558
5.04718e-09,0.248558,0,0.334874
0,0.334874,0.00471089,0.338974
0.00471089,0.338974,0.278269,0.431049
0.278269,0.431049,0.252275,0.206948
0.113242,0.549189,0.00471087,0.338974
0.00471087,0.338974,2.65813e-10,0.334874
2.65813e-10,0.334874,0,0.635827
0,0.635827,0.113242,0.549189
0.406974,1,0.590029,1
0.590029,1,0.643713,0.855179
0.643713,0.855179,0.637406,0.839009
0.637406,0.839009,0.511653,0.768505
0.511653,0.768505,0.406974,1
0.290343,1,0.406974,1
0.406974,1,0.511653,0.768505
0.511653,0.768505,0.475422,0.670148
0.475422,0.670148,0.290343,1
0.690384,0.709397,0.637406,0.839009
0.637406,0.839009,0.643713,0.855179
0.643713,0.855179,0.808593,0.866216
0.808593,0.866216,0.821602,0.844723
0.821602,0.844723,0.690384,0.709397
-7.65135e-10,0.635827,0,0.740122
0,0.740122,0.163016,0.593052
0.163016,0.593052,0.113242,0.549189
0.113242,0.549189,-7.65135e-10,0.635827
0.852159,0.816811,0.821602,0.844724
0.821602,0.844724,0.808593,0.866216
0.808593,0.866216,0.826186,1
0.826186,1,1,1
1,1,1,0.82831
1,0.82831,0.852159,0.816811
0.417798,8.88433e-10,0.241146,0
0.241146,0,0.220454,0.156905
0.220454,0.156905,0.234151,0.162769
0.234151,0.162769,0.418776,0.173306
0.418776,0.173306,0.432178,0.145343
0.432178,0.145343,0.417798,8.88433e-10
0.897755,0.659291,1,0.703338
1,0.703338,1,0.506089
1,0.506089,0.897755,0.659291
0.731539,0.233077,0.782278,0.213433
0.782278,0.213433,1,0.111431
1,0.111431,1,0
1,0,0.619167,0
0.619167,0,0.61113,0.0402328
0.61113,0.0402328,0.631125,0.10047
